省份,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
湖北,0.004414604249103521,0.015183750504046052,0.06762583923286795,0.004047273027757449,0.012820396439750832,0.020154142577643225,0.016711465386757007,0.020432945531786692,0.026116185541606777,0.11439450805667915,0.02183219560557334,0.04292473288538518,0.011344323919821651,0.022126235727182038,0.008582790464670705,0.019390348561656754,0.013596696430850591,0.013600142100769343,0.015134270672800928,0.01970519865044752,0.0,0.023980596693641172,0.010232969829365902,0.01432073088257264,0.011604619755085087,0.021731999328958175,0.35931589242456097,0.04270083484448626,0.01486916761619968,0.011105143057973494
湖南,0.0018699340153745239,0.020759778890376213,0.008879098097829915,0.0017368080049385839,0.01381665224752119,0.06334640036069752,0.004939528307244987,0.06926947439342598,0.1470664844991048,0.01521747976731051,0.12221184856307714,0.007716646552011679,0.010797772132378043,0.14349483035733013,0.0031701432952156157,0.050805233133753874,0.015748728730947084,0.015757948568417012,0.004653719117908296,0.0554321165515589,0.012027593038701738,0.0,0.008952600520395473,0.00449709257092048,0.011277835838035283,0.11623089223401037,0.01288756530881366,0.02743424848051012,0.01962778359088765,0.01037376283130316
甘肃,0.003918093423248172,0.039870104300443604,0.011291581018639951,0.003684474768833312,0.06441272190737173,0.026408600006235752,0.00806296542904066,0.026042097467734556,0.02137549332509875,0.014277222043391938,0.024468805731667917,0.010497626560206978,0.13269480925149854,0.024185262810004722,0.005930014564963298,0.027526965093107435,0.05254758577149214,0.052507116876593825,0.00775599592455179,0.02704410434506775,0.0130001424918481,0.022676544941174808,0.0,0.007582239539500967,0.10998130813038737,0.024568737524978217,0.013381163709883013,0.017097323361063718,0.041693314551165546,0.16551758513080558
福建,0.010146515541101998,0.011717171200305469,0.028884879826016514,0.008969640285360458,0.010754869783380463,0.013310474655434204,0.15914535001636268,0.013386348599074192,0.014704957809226567,0.02023522105506742,0.013749468374731844,0.03416700271362208,0.01006393729039949,0.013822229695579136,0.034056386816999185,0.013096185794383128,0.01108892974788182,0.011090371091240735,0.4235074732931502,0.013185685134320675,0.02276828224034784,0.014255359381177956,0.009488906441972944,0.0,0.01019149253382968,0.013724403312808066,0.021895755585024625,0.01705020413296677,0.011598070907012623,0.009944426741221264
贵州,0.002044550356380349,0.0314730471589211,0.00633241415641705,0.0019184174182802264,0.07822952559689639,0.017488960967161796,0.0043785422450397455,0.01717094832466516,0.013351752973437572,0.0082565601944131,0.015836775706430835,0.005840175857913589,0.32326582098725504,0.01560153110759146,0.003154247364012103,0.018476835857341237,0.05063593222559183,0.05056131175299784,0.00419919730190667,0.01804704698693845,0.007419025879560404,0.014375501362087444,0.05534627968823891,0.004098157820809496,0.0,0.015920057469783765,0.0076665894308725665,0.010187617169757008,0.033790934951562095,0.1649322416877368
辽宁,0.0004707101917041696,0.006464284515167795,0.002109889001409631,0.00043769229837353437,0.004010660791578448,0.03560566357694593,0.0012119096528255837,0.04384435244299017,0.016606263783187507,0.0034416942629376373,0.606179019514736,0.0018508577953337967,0.003044612443096912,0.1563830617473173,0.0007893171510803045,0.023083668805245632,0.0046593892348408385,0.004662544763441889,0.0011444858498495954,0.027102229480998368,0.0027878948678646334,0.029728947988223668,0.0024809221194447236,0.00110740147730253,0.0031945182180684577,0.0,0.0029673351165594502,0.005677142897600086,0.006040189017668617,0.0029133409942074437
重庆,0.004119422183226713,0.014975251543543698,0.053762386478685545,0.0037804698133209144,0.012558121032530812,0.02016864367446198,0.015084176087116775,0.020464466873612693,0.026602536144820627,0.15851456594361385,0.021956518662102204,0.036220340705371716,0.01106511594195876,0.022271634514086612,0.007918178763810743,0.019360707132230724,0.01334844102860928,0.01335195683802342,0.013718091462056709,0.01969331339938607,0.3394090300353882,0.024271639080197648,0.009949343645578253,0.01300893728317905,0.011327477311802963,0.02184926605585573,0.0,0.04577398836795274,0.014651597149360422,0.010824382848114891
陕西,0.004841924946585401,0.02851417394957345,0.03167568238025198,0.004473917024628795,0.02217173408408182,0.04619157757270867,0.01453547558712994,0.047416886280932505,0.08137276929392273,0.08245173763827562,0.05406090621457694,0.02590580227825262,0.01869547988699046,0.05557198998563384,0.00864848274783288,0.04298491816553479,0.024141458738936767,0.02415043577418412,0.013522621149439397,0.044280957308612305,0.0516759821944873,0.06619523097595405,0.016286736895319964,0.012978272061339013,0.019284528243819363,0.05355567412797812,0.05864407797824533,0.0,0.027607795585078136,0.01816277092969365
青海,0.0018080662108858252,0.3810816857589406,0.006474425741135018,0.0016898088314691554,0.04942011506849747,0.030117867864873017,0.004179353541403937,0.02900443636616502,0.018339162907627906,0.009077830085862628,0.024763046178244864,0.0058659940959820325,0.025418113198197298,0.024079717141524272,0.002890442510379751,0.033871558670188144,0.08438560634133935,0.0846361560557226,0.00398387594891719,0.03218057597339232,0.007897940819445283,0.020786421957727855,0.01743200016441414,0.0038747875413469844,0.028074462804198605,0.025009271307331816,0.00823882391206263,0.012117319934728789,0.0,0.023301133067995722
黑龙江,0.0020908089136915395,0.027363125067495893,0.006313576573660347,0.001963305076032242,0.05493683060506008,0.016370635564290758,0.004415890059731698,0.01610102390840316,0.012787973413221137,0.008140550382157967,0.014959573091084942,0.005839584482253972,0.348542876636756,0.014756560235047752,0.003204320256176601,0.017202194961870275,0.040110492960477785,0.040065251121075326,0.004239505604012359,0.016841516663136376,0.007350325919850077,0.013689891743244968,0.08623432365542123,0.004139969187293718,0.1707544495088079,0.015031317538817758,0.007584703657556587,0.009933725860088807,0.029035697353282784,0.0
