年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2018,安徽,中部,0.19972801495289236,0.1944627365991987,0.13493169119268197
2018,山东,东部,0.2452925886417509,0.23990359258212954,0.18797915867288276
2018,山西,中部,0.24171789019530565,0.23851268994713865,0.1770202734417024
2018,广东,东部,0.37427951623590694,0.37050116887671475,0.33999511042284797
2018,广西,西部,0.21298878879074257,0.2063551573201326,0.13013466517012667
2018,新疆,西部,0.22836856677926112,0.21845094207107835,0.12661913625387622
2018,江苏,东部,0.28386835733624716,0.2774944354330712,0.22312147556046902
2018,江西,中部,0.2038819923691383,0.19850542153798456,0.13132606540182593
2018,河北,东部,0.19002023481478014,0.18530965882641462,0.1306942958303466
2018,河南,中部,0.18240379104983043,0.17869719366643153,0.13197719069568326
2018,浙江,东部,0.25740660461938086,0.2518898077411378,0.1951068253714386
2018,海南,东部,0.18726159302038328,0.18196586253980596,0.11535052197232787
2018,湖北,中部,0.19672489359213446,0.19146403303536963,0.13597004757540898
2018,湖南,中部,0.19852502769246785,0.1922735981169659,0.13011201643447579
2018,甘肃,西部,0.17346994068812518,0.1668015053693823,0.09753900940820487
2018,福建,东部,0.22919563175136587,0.22401977140949003,0.1601604024024964
2018,贵州,西部,0.21057262995411619,0.20273925770642853,0.1235430899657695
2018,辽宁,东北,0.23582084729138075,0.22953638724915276,0.15978219463914423
2018,重庆,西部,0.20893405567339093,0.20573160634499746,0.1508041810242466
2018,陕西,西部,0.17742303817016603,0.17279174167935135,0.11776203436518926
2018,青海,西部,0.2125357707102863,0.20632348589322522,0.1260622488332621
2018,黑龙江,东北,0.22447552534773343,0.21603361683393052,0.13060041221093466
2019,上海,东部,0.3928018553315002,0.39316011328991557,0.3705530584009097
2019,云南,西部,0.21626930351861584,0.20689970630199606,0.12108556075780937
2019,内蒙古,西部,0.24846648750702016,0.23950997775479382,0.1459187115177898
2019,北京,东部,0.3527587792125298,0.35148717109674743,0.30932936871414235
2019,吉林,东北,0.2095071637155225,0.2044830074499046,0.1359208997386784
2019,四川,西部,0.24132725842159053,0.2317081663815308,0.14950689499088032
