年份,省份,区域,双系统综合发展指数_改进模型,全国排名_改进模型,双系统综合发展指数_传统模型,全国排名_传统模型,指数差值_改进减传统,排名差值_改进减传统
2020,安徽,中部,0.22374719395386694,20.0,0.22374719395386694,20.0,0.0,0.0
2020,广西,西部,0.22293251683412826,21.0,0.22293251683412824,21.0,2.7755575615628914e-17,0.0
2020,湖北,中部,0.2155915678578539,22.0,0.2155915678578539,22.0,0.0,0.0
2020,贵州,西部,0.21555639808820343,23.0,0.2155563980882034,23.0,2.7755575615628914e-17,0.0
2020,吉林,东北,0.20987224466552615,24.0,0.20987224466552612,24.0,2.7755575615628914e-17,0.0
2020,宁夏,西部,0.20461969247062856,25.0,0.2046196924706285,25.0,5.551115123125783e-17,0.0
2020,河南,中部,0.20113378687594347,26.0,0.2011337868759434,26.0,5.551115123125783e-17,0.0
2020,河北,东部,0.19891356973637653,27.0,0.1989135697363765,27.0,2.7755575615628914e-17,0.0
2020,海南,东部,0.19253327699365877,28.0,0.19253327699365877,28.0,0.0,0.0
2020,陕西,西部,0.18622758160516661,29.0,0.1862275816051666,29.0,2.7755575615628914e-17,0.0
2020,甘肃,西部,0.1773003216501745,30.0,0.1773003216501745,30.0,0.0,0.0
2021,广东,东部,0.4634773258921426,1.0,0.46347732589214263,1.0,-5.551115123125783e-17,0.0
2021,上海,东部,0.4117681607426075,2.0,0.4117681607426076,2.0,-5.551115123125783e-17,0.0
2021,北京,东部,0.3712484197589159,3.0,0.37124841975891587,3.0,5.551115123125783e-17,0.0
2021,江苏,东部,0.3346291735580636,4.0,0.33462917355806354,4.0,5.551115123125783e-17,0.0
2021,浙江,东部,0.304665246050135,5.0,0.304665246050135,5.0,0.0,0.0
2021,山东,东部,0.27573005806332457,6.0,0.2757300580633245,6.0,5.551115123125783e-17,0.0
2021,四川,西部,0.2658694414233883,7.0,0.2658694414233883,7.0,0.0,0.0
2021,福建,东部,0.2501820712847749,8.0,0.2501820712847749,8.0,0.0,0.0
2021,辽宁,东北,0.24734528358597896,9.0,0.24734528358597896,9.0,0.0,0.0
2021,内蒙古,西部,0.2416224182268416,10.0,0.2416224182268416,10.0,0.0,0.0
2021,安徽,中部,0.23972021345306696,11.0,0.23972021345306696,11.0,0.0,0.0
2021,天津,东部,0.2390185209228574,12.0,0.23901852092285739,12.0,2.7755575615628914e-17,0.0
2021,新疆,西部,0.23744771924490043,13.0,0.23744771924490038,13.0,5.551115123125783e-17,0.0
2021,山西,中部,0.22891994227690549,14.0,0.22891994227690549,14.0,0.0,0.0
2021,江西,中部,0.2276881505666009,15.0,0.2276881505666009,15.0,0.0,0.0
2021,云南,西部,0.22751006204607854,16.0,0.22751006204607854,16.0,0.0,0.0
2021,黑龙江,东北,0.22740782602665244,17.0,0.22740782602665238,17.0,5.551115123125783e-17,0.0
2021,青海,西部,0.2269663702743202,18.0,0.22696637027432015,18.0,5.551115123125783e-17,0.0
2021,重庆,西部,0.22631881931189735,19.0,0.22631881931189732,19.0,2.7755575615628914e-17,0.0
2021,广西,西部,0.22589661363767258,20.0,0.2258966136376726,20.0,-2.7755575615628914e-17,0.0
2021,湖南,中部,0.22555383300139054,21.0,0.22555383300139056,21.0,-2.7755575615628914e-17,0.0
2021,湖北,中部,0.22359328382892946,22.0,0.2235932838289295,22.0,-5.551115123125783e-17,0.0
2021,贵州,西部,0.21596593483595727,23.0,0.21596593483595722,23.0,5.551115123125783e-17,0.0
2021,吉林,东北,0.20467160448519978,24.0,0.20467160448519978,24.0,0.0,0.0
2021,宁夏,西部,0.20444795902053742,25.0,0.20444795902053736,25.0,5.551115123125783e-17,0.0
2021,河南,中部,0.19950332649812313,26.0,0.19950332649812313,26.0,0.0,0.0
2021,海南,东部,0.19710566977141059,27.0,0.19710566977141059,27.0,0.0,0.0
2021,河北,东部,0.19525185203038536,28.0,0.1952518520303853,28.0,5.551115123125783e-17,0.0
2021,陕西,西部,0.19001139939107373,29.0,0.19001139939107373,29.0,0.0,0.0
2021,甘肃,西部,0.1790774080403142,30.0,0.17907740804031416,30.0,2.7755575615628914e-17,0.0
2022,广东,东部,0.49526072154109435,1.0,0.49526072154109435,1.0,0.0,0.0
2022,上海,东部,0.4252910119267867,2.0,0.42529101192678664,2.0,5.551115123125783e-17,0.0
2022,北京,东部,0.37638368238832176,3.0,0.37638368238832165,3.0,1.1102230246251565e-16,0.0
2022,江苏,东部,0.3543200393180165,4.0,0.3543200393180164,4.0,5.551115123125783e-17,0.0
